criterion,max_depth,min_samples_split,valid_acc
gini,10,32,0.8333333333333334
gini,10,64,0.8252032520325203
gini,10,128,0.8170731707317073
gini,10,256,0.7926829268292683
gini,10,512,0.7926829268292683
gini,10,1024,0.2926829268292683
gini,15,2,0.8658536585365854
gini,15,4,0.8455284552845529
gini,15,8,0.8495934959349594
gini,15,16,0.8373983739837398
gini,15,32,0.8414634146341463
gini,15,64,0.8414634146341463
gini,15,128,0.8373983739837398
gini,15,256,0.7967479674796748
gini,15,512,0.7804878048780488
gini,15,1024,0.2926829268292683
gini,20,2,0.8455284552845529
gini,20,4,0.8455284552845529
gini,20,8,0.8536585365853658
gini,20,16,0.8617886178861789
gini,20,32,0.8455284552845529
gini,20,64,0.8373983739837398
gini,20,128,0.8170731707317073
gini,20,256,0.8008130081300813
gini,20,512,0.7520325203252033
gini,20,1024,0.2926829268292683
gini,25,2,0.8495934959349594
gini,25,4,0.8536585365853658
gini,25,8,0.8455284552845529
gini,25,16,0.8414634146341463
gini,25,32,0.8455284552845529
gini,25,64,0.8373983739837398
gini,25,128,0.8252032520325203
gini,25,256,0.7967479674796748
gini,25,512,0.7845528455284553
gini,25,1024,0.2926829268292683
gini,30,2,0.8577235772357723
gini,30,4,0.8455284552845529
gini,30,8,0.8536585365853658
gini,30,16,0.8699186991869918
gini,30,32,0.8536585365853658
gini,30,64,0.8170731707317073
gini,30,128,0.8252032520325203
gini,30,256,0.7845528455284553
gini,30,512,0.7886178861788617
gini,30,1024,0.2926829268292683
gini,50,2,0.8658536585365854
gini,50,4,0.8495934959349594
gini,50,8,0.8414634146341463
gini,50,16,0.8455284552845529
gini,50,32,0.8414634146341463
gini,50,64,0.8333333333333334
gini,50,128,0.8252032520325203
gini,50,256,0.8048780487804879
gini,50,512,0.7642276422764228
gini,50,1024,0.2926829268292683
gini,100,2,0.8414634146341463
gini,100,4,0.8414634146341463
gini,100,8,0.8455284552845529
gini,100,16,0.8414634146341463
gini,100,32,0.8495934959349594
gini,100,64,0.8333333333333334
