criterion,max_depth,min_samples_split,valid_acc
friedman_mse,50,2,0.7682926829268293
friedman_mse,50,4,0.8089430894308943
friedman_mse,50,8,0.8333333333333334
friedman_mse,50,16,0.8536585365853658
friedman_mse,50,32,0.8373983739837398
friedman_mse,50,64,0.8455284552845529
friedman_mse,50,128,0.8658536585365854
friedman_mse,50,256,0.8536585365853658
friedman_mse,50,512,0.8495934959349594
friedman_mse,50,1024,0.8455284552845529
friedman_mse,100,2,0.7642276422764228
friedman_mse,100,4,0.8252032520325203
friedman_mse,100,8,0.8211382113821138
friedman_mse,100,16,0.8333333333333334
friedman_mse,100,32,0.8495934959349594
friedman_mse,100,64,0.8495934959349594
friedman_mse,100,128,0.8658536585365854
friedman_mse,100,256,0.8536585365853658
friedman_mse,100,512,0.8495934959349594
friedman_mse,100,1024,0.8455284552845529
